code,employmentStatus,countryOfResidence,gender,age,income,customerType,joinDate,isCustomerAtMost6MonthOld,seniority,isPrimaryCustomer,customerTypeFirstMonth,customerRelationTypeFirstMonth,customerResidenceIndex,customerForeignIndex,channelOfJoin,deceasedIndex,customerAddrProvinceName,isCustomerActive,product
1375586.0,N,ES,H,35,87218.1,02 - PARTICULARES,2015-01-12,0,6,1,1.0,A,S,N,KHL,N,"\"MALAGA\"",1,"[1,2,3]"
1050611.0,N,ES,V,23,35548.74,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,S,KHE,N,"\"CIUDAD REAL\"",0,"[1,2,3]"
1050612.0,N,ES,V,23,122179.11000000002,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"CIUDAD REAL\"",0,"[1,2,3]"
1050613.0,N,ES,H,22,119775.54,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHD,N,"\"ZARAGOZA\"",0,"[1,2,3]"
1050614.0,N,ES,V,23,,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,A,S,N,KHE,N,"\"ZARAGOZA\"",1,"[1,2,3]"
1050615.0,N,ES,H,23,22220.04,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"TOLEDO\"",0,"[1,2,3]"
1050616.0,N,ES,H,23,295590.36,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"LEON\"",0,"[1,2,3]"
1050617.0,N,ES,H,23,113316.66,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,A,S,N,KHE,N,"\"ZARAGOZA\"",1,"[1,2,3]"
1050619.0,N,ES,H,24,,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"GIPUZKOA\"",0,"[1,2,3]"
1050620.0,N,ES,H,23,113194.98,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"CACERES\"",0,"[1,2,3]"
1050621.0,N,ES,V,23,72575.88,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"ZARAGOZA\"",0,"[1,2,3]"
1050622.0,N,ES,H,23,,03 - UNIVERSITARIO,2012-08-10,0,35,1,1,I,S,N,KHE,N,"\"GIRONA\"",0,"[1,2,3]"
