"","code","employmentStatus","countryOfResidence","gender","age","income","customerType","joinDate","isCustomerAtMost6MonthOld","seniority","isPrimaryCustomer","customerTypeFirstMonth","customerRelationTypeFirstMonth","customerResidenceIndex","customerForeignIndex","channelOfJoin","deceasedIndex","customerAddrProvinceName","isCustomerActive","product"
"1","1375586.0","N","ES","H",35,87218.1,"02 - PARTICULARES","2015-01-12",0,6,1,1,"A","S","N","KHL","N","\MALAGA\","1","[1,2,3]"
"2","1050611.0","N","ES","V",23,35548.74,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","S","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"3","1050612.0","N","ES","V",23,122179.11,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"4","1050613.0","N","ES","H",22,119775.54,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHD","N","\ZARAGOZA\","0","[1,2,3]"
"6","1050615.0","N","ES","H",23,22220.04,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\TOLEDO\","0","[1,2,3]"
"7","1050616.0","N","ES","H",23,295590.36,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\LEON\","0","[1,2,3]"
"8","1050617.0","N","ES","H",23,113316.66,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"10","1050620.0","N","ES","H",23,113194.98,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CACERES\","0","[1,2,3]"
"11","1050621.0","N","ES","V",23,72575.88,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\ZARAGOZA\","0","[1,2,3]"
"13","1050623.0","N","ES","H",23,113538.81,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZAMORA\","1","[1,2,3]"
"14","1050624.0","N","ES","H",65,61605.09,"02 - PARTICULARES","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\ZARAGOZA\","1","[1,2,3]"
"17","1050610.0","N","ES","V",24,68318.46,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\SALAMANCA\","1","[1,2,3]"
"18","1050627.0","N","ES","H",23,65608.35,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","0","[1,2,3]"
"19","1050609.0","N","ES","H",22,73432.47,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KFA","N","\CIUDAD REAL\","1","[1,2,3]"
"21","1050582.0","N","ES","V",28,64620.57,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"22","1050586.0","N","ES","V",23,64194.99,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"24","1050589.0","N","ES","V",23,119173.89,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"I","S","N","KHE","N","\HUESCA\","0","[1,2,3]"
"25","1050591.0","N","ES","H",23,58728.39,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\CIUDAD REAL\","1","[1,2,3]"
"27","1050595.0","N","ES","V",25,86863.38,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","N","KHE","N","\AVILA\","1","[1,2,3]"
"28","1050596.0","N","ES","H",25,68421.36,"03 - UNIVERSITARIO","2012-08-10",0,35,1,1,"A","S","S","KHE","N","\ZARAGOZA\","1","[1,2,3]"
